,Zotu1,Zotu10,Zotu100,Zotu101,Zotu102,Zotu103,Zotu104,Zotu105,Zotu106,Zotu107,Zotu108,Zotu109,Zotu11,Zotu110,Zotu111,Zotu112,Zotu113,Zotu114,Zotu115,Zotu116,Zotu117,Zotu118,Zotu119,Zotu12,Zotu120,Zotu121,Zotu122,Zotu123,Zotu124,Zotu125,Zotu126,Zotu127,Zotu128,Zotu129,Zotu13,Zotu130,Zotu131,Zotu132,Zotu133,Zotu134,Zotu135,Zotu136,Zotu137,Zotu138,Zotu139,Zotu14,Zotu140,Zotu141,Zotu142,Zotu143,Zotu144,Zotu145,Zotu146,Zotu147,Zotu148,Zotu149,Zotu15,Zotu150,Zotu151,Zotu152,Zotu153,Zotu154,Zotu155,Zotu156,Zotu157,Zotu158,Zotu159,Zotu16,Zotu160,Zotu161,Zotu162,Zotu163,Zotu164,Zotu165,Zotu166,Zotu167,Zotu168,Zotu169,Zotu17,Zotu18,Zotu19,Zotu2,Zotu20,Zotu21,Zotu22,Zotu23,Zotu24,Zotu25,Zotu26,Zotu27,Zotu28,Zotu29,Zotu3,Zotu30,Zotu31,Zotu32,Zotu33,Zotu34,Zotu35,Zotu36,Zotu37,Zotu38,Zotu39,Zotu4,Zotu40,Zotu41,Zotu42,Zotu43,Zotu44,Zotu45,Zotu46,Zotu47,Zotu48,Zotu49,Zotu5,Zotu50,Zotu51,Zotu52,Zotu53,Zotu54,Zotu55,Zotu56,Zotu57,Zotu58,Zotu59,Zotu6,Zotu60,Zotu61,Zotu62,Zotu63,Zotu64,Zotu65,Zotu66,Zotu67,Zotu68,Zotu69,Zotu7,Zotu70,Zotu71,Zotu72,Zotu73,Zotu74,Zotu75,Zotu76,Zotu77,Zotu78,Zotu79,Zotu8,Zotu80,Zotu81,Zotu82,Zotu83,Zotu84,Zotu85,Zotu86,Zotu87,Zotu88,Zotu89,Zotu9,Zotu90,Zotu91,Zotu92,Zotu93,Zotu94,Zotu95,Zotu96,Zotu97,Zotu98,Zotu99
A1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,143,6,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,263,41,0,890,5,535,322,0,0,224,0,92,0,0,0,136,21,0,528,0,5,373,0,0,0,0,11,203,0,0,4,0,53,250,58,0,226,0,0,14,0,193,0,0,0,2850,0,0,16,0,0,0,0,0,0,0,11,89,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,41,0,6,0,209,38,0,0,0,0,0,0,0,17,0
A10,0,1,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,6279,0,87,0,3,75,0,0,0,0,84,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,21,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,912,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A11,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1020,5,0,5536,0,122,0,0,218,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,41,0,0,29,0,0,0,22,6,0,0,0,0,4,0,0,0,0,391,0,20,0,0,0,14,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
A12,0,19,0,0,19,0,0,22,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1850,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,814,1227,0,15,0,15,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,2547,55,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0,0,0,0,47,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,3,0,0,0,456,1144,0,1224,0,0,932,0,0,19,0,126,0,0,154,16,0,0,0,0,22,105,0,0,0,0,0,236,0,0,354,0,99,0,0,0,0,0,0,0,0,11,0,0,0,2390,0,34,0,0,127,0,0,0,0,0,0,0,0,0,0,75,0,0,52,0,0,0,0,0,0,0,0,0,6,0,11,0,54,0,0,0,0,0,0,0,0,0,0
A4,0,280,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,3,811,0,9,0,674,4,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,68,1493,0,343,0,0,100,0,0,144,0,25,0,0,0,51,10,0,0,0,0,107,0,0,0,0,0,97,0,0,0,0,58,76,0,0,0,0,0,0,0,50,0,0,0,4976,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,324,0,0,0,0,0,0,0,0,0,0
A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,6496,0,96,0,1,59,0,0,34,0,7,0,0,0,14,4,0,0,0,0,95,0,0,0,0,0,151,0,0,22,0,21,13,0,0,0,0,0,0,0,15,0,0,0,924,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,72,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,117,8,0,921,0,0,560,0,0,897,0,74,0,0,0,115,24,0,0,0,0,179,0,0,0,0,0,130,0,0,9,0,347,104,0,0,0,0,0,4,0,75,0,0,0,4259,0,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,9,0
B1,0,2328,0,0,0,0,0,17,0,0,0,0,1544,12,14,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,9,0,473,0,0,0,996,12,206,0,0,246,0,0,0,0,0,0,0,6,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,37,250,0,0,0,0,207,0,0,0,0,26,0,0,0,0,0,0,0,0,44,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
