,Zotu1,Zotu10,Zotu100,Zotu101,Zotu102,Zotu103,Zotu104,Zotu105,Zotu106,Zotu107,Zotu108,Zotu109,Zotu11,Zotu110,Zotu111,Zotu112,Zotu113,Zotu114,Zotu115,Zotu116,Zotu117,Zotu118,Zotu119,Zotu12,Zotu120,Zotu121,Zotu122,Zotu123,Zotu124,Zotu125,Zotu126,Zotu127,Zotu128,Zotu129,Zotu13,Zotu130,Zotu131,Zotu132,Zotu133,Zotu134,Zotu135,Zotu136,Zotu137,Zotu138,Zotu139,Zotu14,Zotu140,Zotu141,Zotu142,Zotu143,Zotu144,Zotu145,Zotu146,Zotu147,Zotu148,Zotu149,Zotu15,Zotu150,Zotu151,Zotu152,Zotu153,Zotu154,Zotu155,Zotu156,Zotu157,Zotu158,Zotu159,Zotu16,Zotu160,Zotu161,Zotu162,Zotu163,Zotu164,Zotu165,Zotu166,Zotu167,Zotu168,Zotu169,Zotu17,Zotu18,Zotu19,Zotu2,Zotu20,Zotu21,Zotu22,Zotu23,Zotu24,Zotu25,Zotu26,Zotu27,Zotu28,Zotu29,Zotu3,Zotu30,Zotu31,Zotu32,Zotu33,Zotu34,Zotu35,Zotu36,Zotu37,Zotu38,Zotu39,Zotu4,Zotu40,Zotu41,Zotu42,Zotu43,Zotu44,Zotu45,Zotu46,Zotu47,Zotu48,Zotu49,Zotu5,Zotu50,Zotu51,Zotu52,Zotu53,Zotu54,Zotu55,Zotu56,Zotu57,Zotu58,Zotu59,Zotu6,Zotu60,Zotu61,Zotu62,Zotu63,Zotu64,Zotu65,Zotu66,Zotu67,Zotu68,Zotu69,Zotu7,Zotu70,Zotu71,Zotu72,Zotu73,Zotu74,Zotu75,Zotu76,Zotu77,Zotu78,Zotu79,Zotu8,Zotu80,Zotu81,Zotu82,Zotu83,Zotu84,Zotu85,Zotu86,Zotu87,Zotu88,Zotu89,Zotu9,Zotu90,Zotu91,Zotu92,Zotu93,Zotu94,Zotu95,Zotu96,Zotu97,Zotu98,Zotu99
A1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,441,18,0,0,0,0,24,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,165,11,0,0,0,0,0,0,0,0,0,0,0,848,139,0,2794,13,1487,940,0,0,661,0,317,0,0,0,378,73,0,1620,0,14,1186,0,0,0,0,27,620,0,0,11,0,193,854,174,0,696,0,0,67,0,585,0,0,0,8816,0,0,47,0,0,0,0,0,0,0,43,267,0,0,0,20,0,0,0,0,0,0,0,0,25,0,0,0,128,0,38,0,620,95,0,0,0,0,0,0,0,66,0
A10,0,16,0,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,20,0,0,24023,0,335,0,11,288,0,0,0,0,290,0,0,0,10,0,0,0,0,0,0,0,0,12,0,0,71,0,0,28,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3291,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A11,0,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,37,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3456,13,0,18666,0,404,0,0,679,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,192,0,0,83,0,0,0,78,24,0,0,0,0,19,0,0,0,0,1276,0,86,0,0,0,43,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
A12,0,33,0,0,59,0,0,54,0,0,0,0,26,0,0,0,23,0,0,0,0,0,0,5743,0,0,0,0,0,0,0,0,0,0,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2614,3750,0,61,0,51,0,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,7819,168,0,0,0,0,116,0,0,0,0,35,0,0,0,0,0,0,0,0,168,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,10,0,0,0,1267,3057,0,3197,0,0,2533,0,0,58,0,315,0,0,389,32,0,0,0,0,80,282,0,0,0,0,0,646,0,0,890,0,295,0,0,0,0,0,0,0,0,39,0,0,0,6403,0,86,0,0,353,0,0,0,0,0,0,0,0,0,0,193,0,0,166,0,0,0,0,0,0,0,0,0,10,0,29,0,134,0,0,0,0,0,0,0,0,0,0
A3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,257,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
A4,0,969,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,17,29,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752,0,14,2827,0,16,0,2405,13,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,13699,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,73,1577,0,366,0,0,104,0,0,152,0,26,0,0,0,52,10,0,0,0,0,111,0,0,0,0,0,105,0,0,0,0,62,84,0,0,0,0,0,0,0,55,0,0,0,5253,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,346,0,0,0,0,0,0,0,0,0,0
A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,70,24695,0,383,0,11,259,0,0,140,0,21,0,0,0,51,14,0,0,0,0,344,0,0,0,0,0,550,0,0,55,0,66,68,0,0,0,0,0,0,0,62,0,0,0,3624,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,47,0,0,0,0,0,0,0,0,0,0
A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,242,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,338,16,0,2809,0,0,1749,0,0,2664,0,211,0,0,0,331,64,0,0,0,0,584,0,0,0,0,0,397,0,0,23,0,1152,285,0,0,0,0,0,18,0,214,0,0,0,13508,0,0,48,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,13,0,0,0,0,0,0,0,0,0,0,16,0
